Ansible Automation Platform Node Metrics Report
AAP Instance: https://aap.example.com
Generated: 2026-02-20 14:39:30 UTC

================================================================================
Subscription Details
================================================================================

Field                              | Value                                             
-----------------------------------+ --------------------------------------------------
Status                             | Out of compliance — You have automated against more hosts than your subscription allows.
Subscription type                  | redacted
Subscription (SKU)                 | redacted
Trial                              | False
Hosts remaining                    | 0
Hosts imported                     | 983
Hosts automated                    | 800 since 10/14/2025, 05:16:13 PM
Hosts deleted                      | 0
Active hosts previously deleted    | 1
Expires on                         | 01/01/2027, 04:59:59 AM
Expires on UTC                     | 01/01/2027, 04:59:59 AM UTC
Days remaining                     | 314
Automation controller version      | 4.5.30

================================================================================
Organization Node and Subscription Metrics
================================================================================

Organization Name                       | Max Nodes         | Unique Nodes      | Shared Nodes      | Unique Subs       | Shared Subs       
host255                  | Yes (consuming)               | DUMMY_ORG26                                       | 2026-02-19                  | 1       |         
host256                  | No (not consuming)            | DUMMY_ORG10                                       |                             |         |         
host257                  | Yes (consuming)               | DUMMY_ORG25                                       | 2026-02-19                  | 1       |         
host258                  | Yes (consuming)               | DUMMY_ORG36                                       | 2026-02-19                  | 1       |         
host259                  | Yes (consuming)               | DUMMY_ORG31                                       | 2026-02-19                  | 1       |         
host26                   | Yes (consuming)               | DUMMY_ORG23                                       | 2026-02-19                  | 1       |         
host260                  | Yes (consuming)               | DUMMY_ORG04                                       | 2026-02-19                  | 1       |         
host261                  | Yes (consuming)               | DUMMY_ORG03                                       | 2026-02-19                  | 1       |         
host262                  | No (not consuming)            | DUMMY_ORG40                                       |                             |         |         
host263                  | Yes (consuming)               | DUMMY_ORG18                                       | 2026-02-19                  | 1       |         
host264                  | Yes (consuming)               | DUMMY_ORG11                                       | 2026-02-19                  | 1       |         
host265                  | Yes (consuming)               | DUMMY_ORG40                                       | 2026-02-19                  | 1       |         
host266                  | Yes (consuming)               | DUMMY_ORG20                                       | 2026-02-19                  | 1       |         
host267                  | Yes (consuming)               | DUMMY_ORG28                                       | 2026-02-19                  | 1       |         
host268                  | No (not consuming)            | DUMMY_ORG24                                       |                             |         |         
host269                  | Yes (consuming)               | DUMMY_ORG10                                       | 2026-02-19                  | 1       |         
host27                   | Yes (consuming)               | DUMMY_ORG33                                       | 2026-02-19                  | 1       |         
host270                  | Yes (consuming)               | DUMMY_ORG13                                       | 2026-02-19                  | 1       |         
host271                  | Yes (consuming)               | DUMMY_ORG23                                       | 2026-02-19                  | 1       |         
host272                  | Yes (consuming)               | DUMMY_ORG07                                       | 2026-02-19                  | 1       |         
host273                  | No (not consuming)            | DUMMY_ORG40                                       |                             |         |         
host274                  | Yes (consuming)               | DUMMY_ORG10                                       | 2026-02-19                  | 1       |         
host275                  | No (not consuming)            | DUMMY_ORG16                                       |                             |         |         
host276                  | Yes (consuming)               | DUMMY_ORG18                                       | 2026-02-19                  | 1       |         
host277                  | No (not consuming)            | DUMMY_ORG07                                       |                             |         |         
host278                  | Yes (consuming)               | DUMMY_ORG19                                       | 2026-02-19                  | 1       |         
host279                  | Yes (consuming)               | DUMMY_ORG03                                       | 2026-02-19                  | 1       |         
host28                   | Yes (consuming)               | DUMMY_ORG09                                       | 2026-02-19                  | 1       |         
host280                  | No (not consuming)            | DUMMY_ORG07                                       |                             |         |         
host281                  | Yes (consuming)               | DUMMY_ORG01                                       | 2026-02-19                  | 3       |         
host282                  | No (not consuming)            | DUMMY_ORG37                                       |                             |         |         
host283                  | Yes (consuming)               | DUMMY_ORG32                                       | 2026-02-19                  | 1       |         
host284                  | Yes (consuming)               | DUMMY_ORG07                                       | 2026-02-19                  | 1       |         
host285                  | No (not consuming)            | DUMMY_ORG25                                       |                             |         |         
host286                  | Yes (consuming)               | DUMMY_ORG40                                       | 2026-02-19                  | 1       |         
host287                  | Yes (consuming)               | DUMMY_ORG08                                       | 2026-02-19                  | 1       |         
host288                  | Yes (consuming)               | DUMMY_ORG17                                       | 2026-02-19                  | 1       |         
host289                  | No (not consuming)            | DUMMY_ORG30                                       |                             |         |         
host29                   | Yes (consuming)               | DUMMY_ORG10                                       | 2026-02-19                  | 1       |         
host290                  | No (not consuming)            | DUMMY_ORG40                                       |                             |         |         
host291                  | No (not consuming)            | DUMMY_ORG37                                       |                             |         |         
host292                  | No (not consuming)            | DUMMY_ORG30                                       |                             |         |         
host293                  | No (not consuming)            | DUMMY_ORG39                                       |                             |         |         
host294                  | Yes (consuming)               | DUMMY_ORG36                                       | 2026-02-19                  | 1       |         
host295                  | No (not consuming)            | DUMMY_ORG09                                       |                             |         |         
host296                  | No (not consuming)            | DUMMY_ORG06                                       |                             |         |         
host297                  | No (not consuming)            | DUMMY_ORG26                                       |                             |         |         
host298                  | No (not consuming)            | DUMMY_ORG30                                       |                             |         |         
host299                  | Yes (consuming)               | DUMMY_ORG31                                       | 2026-02-19                  | 1       |         
host3                    | Yes (consuming)               | DUMMY_ORG30                                       | 2026-02-19                  | 1       |         
host30                   | Yes (consuming)               | DUMMY_ORG15                                       | 2026-02-19                  | 1       |         
host300                  | Yes (consuming)               | DUMMY_ORG29                                       | 2026-02-19                  | 1       |         
host301                  | Yes (consuming)               | DUMMY_ORG10                                       | 2026-02-19                  | 1       |         
host302                  | Yes (consuming)               | DUMMY_ORG08                                       | 2026-02-19                  | 1       |         
host303                  | Yes (consuming)               | DUMMY_ORG04                                       | 2026-02-19                  | 1       |         
host304                  | Yes (consuming)               | DUMMY_ORG23                                       | 2026-02-19                  | 1       |         
host305                  | Yes (consuming)               | DUMMY_ORG39                                       | 2026-02-19                  | 1       |         
host306                  | Yes (consuming)               | DUMMY_ORG36                                       | 2026-02-19                  | 1       |         
host307                  | Yes (consuming)               | DUMMY_ORG01                                       | 2026-02-19                  | 3       |         
host308                  | Yes (consuming)               | DUMMY_ORG32                                       | 2026-02-19                  | 1       |         
host309                  | Yes (consuming)               | DUMMY_ORG20                                       | 2026-02-19                  | 1       |         
host31                   | Yes (consuming)               | DUMMY_ORG14                                       | 2026-02-19                  | 1       |         
host310                  | Yes (consuming)               | DUMMY_ORG35                                       | 2026-02-19                  | 1       |         
host311                  | Yes (consuming)               | DUMMY_ORG15                                       | 2026-02-19                  | 1       |         
host312                  | Yes (consuming)               | DUMMY_ORG20                                       | 2026-02-19                  | 1       |         
host313                  | Yes (consuming)               | DUMMY_ORG33                                       | 2026-02-19                  | 1       |         
host314                  | Yes (consuming)               | DUMMY_ORG33                                       | 2026-02-19                  | 1       |         
host315                  | Yes (consuming)               | DUMMY_ORG27                                       | 2026-02-19                  | 1       |         
host316                  | No (not consuming)            | DUMMY_ORG01                                       |                             |         |         
host317                  | No (not consuming)            | DUMMY_ORG01                                       |                             |         |         
host318                  | Yes (consuming)               | DUMMY_ORG17                                       | 2026-02-19                  | 1       |         
host319                  | No (not consuming)            | DUMMY_ORG07                                       |                             |         |         
host32                   | Yes (consuming)               | DUMMY_ORG40                                       | 2026-02-19                  | 1       |         
host320                  | Yes (consuming)               | DUMMY_ORG10                                       | 2026-02-19                  | 1       |         
host321                  | Yes (consuming)               | DUMMY_ORG25                                       | 2026-02-19                  | 1       |         
host322                  | No (not consuming)            | DUMMY_ORG31                                       |                             |         |         
host323                  | No (not consuming)            | DUMMY_ORG12                                       |                             |         |         
